sample_id,ph_eccc,ph_fisher,ph_orion,eccc_id
2023062302-01,8.26,8.206,8.22,MI-1
2023062302-02,8.11,7.952,7.93,MI-2
2023062302-03,7.66,7.481,7.63,MI-3
2023062302-04,8.32,8.189,8.2,MI-4
2023062302-05,7.06,6.908,6.86,MI-5
2023062302-06,8.43,8.334,8.24,MI-6
2023062302-07,7.18,6.951,7.09,MI-7
2023062302-08,8.4,8.307,8.18,MI-8
2023062302-09,8.26,8.114,8.33,MI-9
2023062302-10,8.33,8.17,8.08,MI-10
2023062301-01,7.22,7.07,7.07,RN-1
2023062301-02,5.81,5.53,5.53,RN-2
2023062301-03,4.73,4.73,4.73,RN-3
2023062301-04,5.64,5.5,5.5,RN-4
2023062301-05,5.91,5.67,5.67,RN-5
2023062301-06,5.97,5.76,5.76,RN-6
2023062301-07,6.77,6.52,6.52,RN-7
2023062301-08,6.27,6.05,6.05,RN-8
2023062301-09,6.4,6.19,6.19,RN-9
2023062301-10,6.23,6,6,RN-10
